# Wikidata Lexemes (CC0 1.0), Danish (Q9035) lexemes whose lemma contains a space. Retrieved 2026-09-25 via https://qlever.dev/api/wikidata with:
# SELECT ?l ?lemma ?cat WHERE { ?l dct:language wd:Q9035 ; wikibase:lemma ?lemma ; wikibase:lexicalCategory ?cat . FILTER(CONTAINS(STR(?lemma), " ")) }
<http://www.wikidata.org/entity/L1566490>	"en detail"@da	<http://www.wikidata.org/entity/Q380057>
<http://www.wikidata.org/entity/L1566498>	"in medias res"@da	<http://www.wikidata.org/entity/Q380057>
<http://www.wikidata.org/entity/L1582786>	"public domain"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1588032>	"rock and roll"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1589792>	"cire perdue"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1597502>	"art deco"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1597518>	"thrash metal"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1624661>	"country og western"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L226724>	"heller ikke"@da	<http://www.wikidata.org/entity/Q380057>
<http://www.wikidata.org/entity/L226741>	"tage fat"@da	<http://www.wikidata.org/entity/Q24905>
<http://www.wikidata.org/entity/L228637>	"falde til patten"@da	<http://www.wikidata.org/entity/Q187931>
<http://www.wikidata.org/entity/L228681>	"hele tiden"@da	<http://www.wikidata.org/entity/Q380057>
<http://www.wikidata.org/entity/L228862>	"Det Radikale Venstre"@da	<http://www.wikidata.org/entity/Q147276>
<http://www.wikidata.org/entity/L228864>	"Dansk Folkeparti"@da	<http://www.wikidata.org/entity/Q147276>
<http://www.wikidata.org/entity/L228872>	"blande op"@da	<http://www.wikidata.org/entity/Q24905>
<http://www.wikidata.org/entity/L228883>	"au pair"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L228900>	"gå ud"@da	<http://www.wikidata.org/entity/Q24905>
<http://www.wikidata.org/entity/L229382>	"du godeste"@da	<http://www.wikidata.org/entity/Q83034>
<http://www.wikidata.org/entity/L230306>	"den lille fyr"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L235253>	"på hug"@da	<http://www.wikidata.org/entity/Q3734650>
<http://www.wikidata.org/entity/L235599>	"på forhånd"@da	<http://www.wikidata.org/entity/Q3734650>
<http://www.wikidata.org/entity/L235712>	"urent trav"@da	<http://www.wikidata.org/entity/Q1401131>
<http://www.wikidata.org/entity/L252559>	"skyde sig selv i foden"@da	<http://www.wikidata.org/entity/Q1778442>
<http://www.wikidata.org/entity/L252587>	"barn på gule plader"@da	<http://www.wikidata.org/entity/Q1401131>
<http://www.wikidata.org/entity/L253025>	"slå op"@da	<http://www.wikidata.org/entity/Q24905>
<http://www.wikidata.org/entity/L253026>	"gøre slut"@da	<http://www.wikidata.org/entity/Q24905>
<http://www.wikidata.org/entity/L253157>	"kaste op"@da	<http://www.wikidata.org/entity/Q24905>
<http://www.wikidata.org/entity/L253163>	"brække sig"@da	<http://www.wikidata.org/entity/Q24905>
<http://www.wikidata.org/entity/L298555>	"en kold skulder"@da	<http://www.wikidata.org/entity/Q1401131>
<http://www.wikidata.org/entity/L298938>	"a cappella"@da	<http://www.wikidata.org/entity/Q380057>
<http://www.wikidata.org/entity/L298939>	"a cappella-arie"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L314526>	"ligge som man har redt"@da	<http://www.wikidata.org/entity/Q1778442>
<http://www.wikidata.org/entity/L314527>	"alt godt kommer til den, der venter"@da	<http://www.wikidata.org/entity/Q184511>
<http://www.wikidata.org/entity/L342699>	"hænge med røven i vandskorpen"@da	<http://www.wikidata.org/entity/Q1778442>
<http://www.wikidata.org/entity/L345527>	"man ligger som man har redt"@da	<http://www.wikidata.org/entity/Q35102>
<http://www.wikidata.org/entity/L346883>	"fino bambino"@da	<http://www.wikidata.org/entity/Q83034>
<http://www.wikidata.org/entity/L346898>	"hokus pokus"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L347126>	"tab og vind med samme sind"@da	<http://www.wikidata.org/entity/Q187931>
<http://www.wikidata.org/entity/L347127>	"have alt at vinde og intet at tabe"@da	<http://www.wikidata.org/entity/Q184511>
<http://www.wikidata.org/entity/L347128>	"ingen roser uden torne"@da	<http://www.wikidata.org/entity/Q184511>
<http://www.wikidata.org/entity/L347129>	"stikke folk blår i øjnene"@da	<http://www.wikidata.org/entity/Q184511>
<http://www.wikidata.org/entity/L347130>	"af den gamle skole"@da	<http://www.wikidata.org/entity/Q184511>
<http://www.wikidata.org/entity/L347132>	"stå ned i stænger"@da	<http://www.wikidata.org/entity/Q184511>
<http://www.wikidata.org/entity/L347371>	"kæp i hjulet"@da	<http://www.wikidata.org/entity/Q184511>
<http://www.wikidata.org/entity/L347373>	"på grund af"@da	<http://www.wikidata.org/entity/Q184511>
<http://www.wikidata.org/entity/L347382>	"på grund af at"@da	<http://www.wikidata.org/entity/Q184511>
<http://www.wikidata.org/entity/L347419>	"en sludder for en sladder"@da	<http://www.wikidata.org/entity/Q1401131>
<http://www.wikidata.org/entity/L347542>	"stå ned"@da	<http://www.wikidata.org/entity/Q184511>
<http://www.wikidata.org/entity/L347781>	"køre død"@da	<http://www.wikidata.org/entity/Q184511>
<http://www.wikidata.org/entity/L347786>	"lege med ilden"@da	<http://www.wikidata.org/entity/Q1778442>
<http://www.wikidata.org/entity/L347788>	"klippe ud"@da	<http://www.wikidata.org/entity/Q24905>
<http://www.wikidata.org/entity/L347795>	"koge ind"@da	<http://www.wikidata.org/entity/Q24905>
<http://www.wikidata.org/entity/L347801>	"sutte dig selv"@da	<http://www.wikidata.org/entity/Q184511>
<http://www.wikidata.org/entity/L349054>	"ryge i svinget"@da	<http://www.wikidata.org/entity/Q1778442>
<http://www.wikidata.org/entity/L349062>	"være på skideren"@da	<http://www.wikidata.org/entity/Q187931>
<http://www.wikidata.org/entity/L349068>	"give slip"@da	<http://www.wikidata.org/entity/Q24905>
<http://www.wikidata.org/entity/L349072>	"gå i baglås"@da	<http://www.wikidata.org/entity/Q24905>
<http://www.wikidata.org/entity/L349289>	"feje for din egen dør"@da	<http://www.wikidata.org/entity/Q184511>
<http://www.wikidata.org/entity/L36654>	"plus at"@da	<http://www.wikidata.org/entity/Q36484>
<http://www.wikidata.org/entity/L401357>	"goddag mand økseskaft"@da	<http://www.wikidata.org/entity/Q83034>
<http://www.wikidata.org/entity/L40706>	"godt nytår"@da	<http://www.wikidata.org/entity/Q10319520>
<http://www.wikidata.org/entity/L41764>	"hestens fødselsdag"@da	<http://www.wikidata.org/entity/Q187931>
<http://www.wikidata.org/entity/L42212>	"hvem som helst"@da	<http://www.wikidata.org/entity/Q5978303>
<http://www.wikidata.org/entity/L42980>	"røde hunde"@da	<http://www.wikidata.org/entity/Q5456361>
<http://www.wikidata.org/entity/L464789>	"bland selv-slik"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L525206>	"spidssnudet frø"@da	<http://www.wikidata.org/entity/Q503992>
<http://www.wikidata.org/entity/L525225>	"grønbroget tudse"@da	<http://www.wikidata.org/entity/Q503992>
<http://www.wikidata.org/entity/L580557>	"tomme tønder buldrer mest"@da	<http://www.wikidata.org/entity/Q184511>
<http://www.wikidata.org/entity/L583339>	"vaske op"@da	<http://www.wikidata.org/entity/Q187931>
<http://www.wikidata.org/entity/L584698>	"Odense Boldklub"@da	<http://www.wikidata.org/entity/Q147276>
<http://www.wikidata.org/entity/L588402>	"ude i kulissen"@da	<http://www.wikidata.org/entity/Q184511>
<http://www.wikidata.org/entity/L588409>	"gå rigtigt galt"@da	<http://www.wikidata.org/entity/Q184511>
<http://www.wikidata.org/entity/L588413>	"syv-syv fordeling"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L588414>	"ni-syv fordeling"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L589763>	"få kolde fødder"@da	<http://www.wikidata.org/entity/Q184511>
<http://www.wikidata.org/entity/L589764>	"få nok"@da	<http://www.wikidata.org/entity/Q184511>
<http://www.wikidata.org/entity/L589765>	"give baghjul"@da	<http://www.wikidata.org/entity/Q1778442>
<http://www.wikidata.org/entity/L589766>	"slå hovedet på sømmet"@da	<http://www.wikidata.org/entity/Q184511>
<http://www.wikidata.org/entity/L589768>	"knyt sylten"@da	<http://www.wikidata.org/entity/Q184511>
<http://www.wikidata.org/entity/L589769>	"tak for kaffe"@da	<http://www.wikidata.org/entity/Q184511>
<http://www.wikidata.org/entity/L589770>	"knald i låget"@da	<http://www.wikidata.org/entity/Q184511>
<http://www.wikidata.org/entity/L589771>	"fis i kasketten"@da	<http://www.wikidata.org/entity/Q184511>
<http://www.wikidata.org/entity/L589772>	"ude og sejle"@da	<http://www.wikidata.org/entity/Q184511>
<http://www.wikidata.org/entity/L589773>	"få en olfert"@da	<http://www.wikidata.org/entity/Q184511>
<http://www.wikidata.org/entity/L589774>	"tage benene på nakken"@da	<http://www.wikidata.org/entity/Q184511>
<http://www.wikidata.org/entity/L589775>	"hård nyser"@da	<http://www.wikidata.org/entity/Q1401131>
<http://www.wikidata.org/entity/L589776>	"slå under bæltestedet"@da	<http://www.wikidata.org/entity/Q184511>
<http://www.wikidata.org/entity/L589777>	"få huden fuld"@da	<http://www.wikidata.org/entity/Q184511>
<http://www.wikidata.org/entity/L589778>	"få en på sinkadusen"@da	<http://www.wikidata.org/entity/Q184511>
<http://www.wikidata.org/entity/L589779>	"man skal ikke kaste med sten når man selv bor i et glashus"@da	<http://www.wikidata.org/entity/Q35102>
<http://www.wikidata.org/entity/L590612>	"sortplettet blåfugl"@da	<http://www.wikidata.org/entity/Q1401131>
<http://www.wikidata.org/entity/L590620>	"tykskallet malermusling"@da	<http://www.wikidata.org/entity/Q1401131>
<http://www.wikidata.org/entity/L590625>	"grøn kølleguldsmed"@da	<http://www.wikidata.org/entity/Q1401131>
<http://www.wikidata.org/entity/L591359>	"gal i skralden"@da	<http://www.wikidata.org/entity/Q184511>
<http://www.wikidata.org/entity/L591360>	"ond i sulet"@da	<http://www.wikidata.org/entity/Q184511>
<http://www.wikidata.org/entity/L592109>	"sove i timen"@da	<http://www.wikidata.org/entity/Q184511>
<http://www.wikidata.org/entity/L593074>	"røven af fjerde division"@da	<http://www.wikidata.org/entity/Q187931>
<http://www.wikidata.org/entity/L613634>	"Brandts flagermus"@da	<http://www.wikidata.org/entity/Q187931>
<http://www.wikidata.org/entity/L613635>	"Bechsteins flagermus"@da	<http://www.wikidata.org/entity/Q187931>
<http://www.wikidata.org/entity/L613649>	"bredøret flagermus"@da	<http://www.wikidata.org/entity/Q187931>
<http://www.wikidata.org/entity/L613651>	"langøret flagermus"@da	<http://www.wikidata.org/entity/Q187931>
<http://www.wikidata.org/entity/L618836>	"have hovedet under armen"@da	<http://www.wikidata.org/entity/Q1778442>
<http://www.wikidata.org/entity/L618837>	"skåret i dørren"@da	<http://www.wikidata.org/entity/Q184511>
<http://www.wikidata.org/entity/L618839>	"dum i nakken"@da	<http://www.wikidata.org/entity/Q184511>
<http://www.wikidata.org/entity/L620414>	"pøj pøj"@da	<http://www.wikidata.org/entity/Q83034>
<http://www.wikidata.org/entity/L621266>	"tage noget i stiv arm"@da	<http://www.wikidata.org/entity/Q184511>
<http://www.wikidata.org/entity/L622164>	"tage hatten af for noget"@da	<http://www.wikidata.org/entity/Q184511>
<http://www.wikidata.org/entity/L623317>	"tømme ryggen"@da	<http://www.wikidata.org/entity/Q184511>
<http://www.wikidata.org/entity/L623407>	"få hovedet ud af røven"@da	<http://www.wikidata.org/entity/Q1778442>
<http://www.wikidata.org/entity/L623408>	"kæmpe røven ud af bukserne"@da	<http://www.wikidata.org/entity/Q1778442>
<http://www.wikidata.org/entity/L630834>	"i lang tid"@da	<http://www.wikidata.org/entity/Q187931>
<http://www.wikidata.org/entity/L630835>	"i dag"@da	<http://www.wikidata.org/entity/Q187931>
<http://www.wikidata.org/entity/L630836>	"i morgen"@da	<http://www.wikidata.org/entity/Q187931>
<http://www.wikidata.org/entity/L630837>	"i aften"@da	<http://www.wikidata.org/entity/Q187931>
<http://www.wikidata.org/entity/L630838>	"i morges"@da	<http://www.wikidata.org/entity/Q1469454>
<http://www.wikidata.org/entity/L630839>	"i aftes"@da	<http://www.wikidata.org/entity/Q1469454>
<http://www.wikidata.org/entity/L630840>	"i går morges"@da	<http://www.wikidata.org/entity/Q187931>
<http://www.wikidata.org/entity/L630841>	"i går aftes"@da	<http://www.wikidata.org/entity/Q187931>
<http://www.wikidata.org/entity/L630842>	"i morgen aften"@da	<http://www.wikidata.org/entity/Q187931>
<http://www.wikidata.org/entity/L630843>	"i morgen formiddag"@da	<http://www.wikidata.org/entity/Q187931>
<http://www.wikidata.org/entity/L630844>	"i morgen eftermiddag"@da	<http://www.wikidata.org/entity/Q187931>
<http://www.wikidata.org/entity/L630845>	"i morgen tidlig"@da	<http://www.wikidata.org/entity/Q187931>
<http://www.wikidata.org/entity/L673697>	"New York"@da	<http://www.wikidata.org/entity/Q147276>
<http://www.wikidata.org/entity/L680009>	"tik tak"@da	<http://www.wikidata.org/entity/Q170239>
<http://www.wikidata.org/entity/L682910>	"somme tider"@da	<http://www.wikidata.org/entity/Q380057>
<http://www.wikidata.org/entity/L684734>	"ad hoc"@da	<http://www.wikidata.org/entity/Q380057>
<http://www.wikidata.org/entity/L689005>	"a la"@da	<http://www.wikidata.org/entity/Q4833830>
<http://www.wikidata.org/entity/L689192>	"quiche lorraine"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L689193>	"status quo"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L704506>	"snakke fanden et øre af"@da	<http://www.wikidata.org/entity/Q1778442>
<http://www.wikidata.org/entity/L706551>	"træde i spinaten"@da	<http://www.wikidata.org/entity/Q187931>
<http://www.wikidata.org/entity/L706585>	"gå op i hat og briller"@da	<http://www.wikidata.org/entity/Q1778442>
<http://www.wikidata.org/entity/L706586>	"gå sin skæve gang"@da	<http://www.wikidata.org/entity/Q184511>
<http://www.wikidata.org/entity/L713719>	"hold kæft"@da	<http://www.wikidata.org/entity/Q83034>
<http://www.wikidata.org/entity/L740106>	"male sig selv op i et hjørne"@da	<http://www.wikidata.org/entity/Q187931>
<http://www.wikidata.org/entity/L743669>	"Valby Bakke"@da	<http://www.wikidata.org/entity/Q147276>
<http://www.wikidata.org/entity/L942514>	"frisk som en havørn"@da	<http://www.wikidata.org/entity/Q187931>
<http://www.wikidata.org/entity/L984316>	"til stede"@da	<http://www.wikidata.org/entity/Q187931>
<http://www.wikidata.org/entity/L988539>	"lade vand"@da	<http://www.wikidata.org/entity/Q24905>
<http://www.wikidata.org/entity/L988655>	"gå i ged"@da	<http://www.wikidata.org/entity/Q1778442>
<http://www.wikidata.org/entity/L988658>	"gå i ged"@da	<http://www.wikidata.org/entity/Q187931>
<http://www.wikidata.org/entity/L994937>	"per se"@da	<http://www.wikidata.org/entity/Q380057>
<http://www.wikidata.org/entity/L999027>	"Vor Herre"@da	<http://www.wikidata.org/entity/Q147276>
